# wave_Ang	data_1	data_2	data_mean	data_err_mean	model
10832.142099999999	0.068586006575	0.123650624783	0.054753542634	0.215690621223	0.168214440832
10832.199600000000	0.258101070442	0.237086047273	0.273042099390	0.214714281133	0.162620301810
10832.257100000001	0.177866619829	0.170534340567	0.216302083626	0.214042410281	0.158200929315
10832.314600000000	0.034941704633	0.420654823012	0.206223356602	0.213167223994	0.157481367837
10832.372100000001	0.186109124462	0.483029758747	0.261697459423	0.212162054393	0.163354664367
10832.429599999999	0.186255202043	0.262616374184	0.143622767590	0.211492819828	0.178871907648
10832.487100000000	0.206623965921	0.130566650277	0.106073092097	0.210924998951	0.206974903984
10832.544599999999	0.387222850994	0.173869280024	0.208328690712	0.210393815669	0.250182742229
10832.602100000000	0.533844943438	0.291114715290	0.364085215415	0.209819460759	0.310228097424
10832.659500000000	0.370782411699	0.578672393477	0.420936253827	0.209490524033	0.387527792335
10832.717000000001	0.509270409788	0.528910905560	0.466177669568	0.209316527033	0.481450257974
10832.774500000000	0.558187016676	0.647007613095	0.574820990562	0.209363244213	0.589251738755
10832.831899999999	0.587947057967	0.761110337880	0.622283042741	0.209699210703	0.706315558395
10832.889400000000	0.793251027745	1.002024725840	0.862371156312	0.210016358807	0.827093203248
10832.946800000000	0.854040258129	0.889115942888	0.868458844730	0.210494754760	0.944039009132
10833.004199999999	0.919584579403	1.090760454278	1.009052739068	0.210816074276	1.049562938774
10833.061700000000	0.778000927578	1.280700580941	1.082452876943	0.211243938497	1.136173240486
10833.119100000000	0.774678551991	1.382065987792	1.149397764977	0.211498786328	1.196909249187
10833.176500000000	0.908091861819	1.434158470484	1.181915061881	0.211876702706	1.227057520885
10833.233899999999	1.056313461279	1.587252113974	1.233592291039	0.212100403550	1.224102849430
10833.291300000001	0.915609583057	1.501501375744	1.136351379385	0.212057172548	1.188222933660
10833.348700000000	0.850559727089	1.293606814628	1.094558864779	0.211788647504	1.122256762954
10833.406100000000	0.845377216144	1.067365243801	1.013673560492	0.211434520701	1.031230749855
10833.463500000000	0.765825848775	1.051567865652	0.939982201548	0.210971415879	0.921705891249
10833.520900000000	0.717494400907	0.813069092589	0.763436501120	0.210490735223	0.801072403974
10833.578299999999	0.653595702617	0.510542538819	0.544369009915	0.210096539878	0.676757651318
10833.635600000000	0.662521434095	0.394482056894	0.532320967429	0.209724236359	0.555807414493
10833.692999999999	0.560616136938	0.285973192230	0.415737753599	0.209832009863	0.443400070002
10833.750400000001	0.340627670239	0.506302754139	0.384175446538	0.210292950874	0.343671223297
10833.807699999999	0.230067618896	0.591258097474	0.321394212544	0.211371698311	0.258933688516
10833.865100000001	0.249313991664	0.283652337012	0.119357298712	0.212923762002	0.189429104330
10833.922399999999	0.041271669277	0.295344178508	0.063266464068	0.214714049195	0.134695768887
10833.979799999999	0.076662473385	0.463432701026	0.226094435416	0.216930466482	0.092984764740
10834.037100000000	0.140310036711	0.420158610723	0.222158170742	0.219753693316	0.062382034730
10834.094400000000	0.324551942802	0.368339944602	0.309065354610	0.222659373681	0.040625543130
10834.151700000000	0.385108654364	0.404121354176	0.347608340571	0.225935360100	0.025673374085
10834.209000000001	0.300132643495	0.114630251962	0.192083351750	0.229097609636	0.015735040317
10834.266299999999	0.262903240885	0.159025431533	0.152559162725	0.231552629125	0.009350408023
10834.323600000000	0.022560385750	0.296696421503	0.098691435145	0.233426702070	0.005389355260
10834.380900000000	-0.041223278341	0.297001068173	0.006271090830	0.234376502490	0.003012917268
10834.438200000001	0.026187625030	0.298375181227	-0.030660259862	0.234244059193	0.001633266602
10834.495500000001	-0.135190720831	0.073897891339	-0.197070614055	0.233076915702	0.000858131587
10834.552799999999	-0.145385684066	0.026434004688	-0.154627122563	0.230917966055	0.000435974744
10834.610000000001	0.087983602431	-0.010303385763	-0.034299967327	0.227994261604	0.000213186186
10834.667299999999	0.092011870623	-0.149864670673	-0.066462790139	0.224970880291	0.000098499652
10834.724600000000	-0.148816248306	-0.357180041687	-0.299614137974	0.221991181801	0.000041157171
10834.781800000001	-0.177853905719	-0.013500417229	-0.174358036673	0.218872421538	0.000013186408
10834.839099999999	-0.162184396798	0.059101460908	-0.142956381922	0.216011711878	-0.000000220074
10834.896300000000	-0.192047375272	-0.040405964495	-0.190224351625	0.213553454063	-0.000006532448
10834.953500000000	-0.082738872824	-0.035307779299	-0.163375542912	0.211537046958	-0.000009485961
